model,feature,weight,direction,abs_weight
m0_w13_c25_svc_C0.35,the sydney,-0.46128348705347916,support_non_rumor,0.46128348705347916
m0_w13_c36_svc_C0.4,the,-0.45875438628706233,support_non_rumor,0.45875438628706233
m0_w13_c25_svc_C0.35,the,-0.456694392694107,support_non_rumor,0.456694392694107
m0_w13_c25_svc_C0.3,shooting,-0.451394901107872,support_non_rumor,0.451394901107872
m0_w13_c36_svc_C0.4,shooting,-0.4499328741002847,support_non_rumor,0.4499328741002847
m0_w13_c36_svc_C0.4,sydney is,-0.44896113092207623,support_non_rumor,0.44896113092207623
m0_w12_c35_svc_C0.2,is over,-0.44802617076160217,support_non_rumor,0.44802617076160217
m0_w12_c36_svc_C0.25,about,-0.44754670810772035,support_non_rumor,0.44754670810772035
m0_w13_c36_svc_C0.4,unit,-0.4466007510053813,support_non_rumor,0.4466007510053813
m0_w13_c25_svc_C0.3,my,-0.44562144639089024,support_non_rumor,0.44562144639089024
m0_w13_c25_svc_C0.35,about,-0.444956346622214,support_non_rumor,0.444956346622214
m0_w12_c36_svc_C0.25,crash,-0.4445364188692144,support_non_rumor,0.4445364188692144
m0_w13_c25_svc_C0.3,how,-0.4440491621321208,support_non_rumor,0.4440491621321208
m0_w13_c36_svc_C0.4,about,-0.44348494657038956,support_non_rumor,0.44348494657038956
m0_w12_c36_svc_C0.25,the sydney,-0.4434333945653602,support_non_rumor,0.4434333945653602
m0_w12_c35_svc_C0.2,crash,-0.43857047471741456,support_non_rumor,0.43857047471741456
m0_w13_c36_svc_C0.4,is,-0.43543881514270755,support_non_rumor,0.43543881514270755
m0_w13_c25_svc_C0.3,the,-0.4340822858216247,support_non_rumor,0.4340822858216247
m0_w13_c25_svc_C0.3,at the,-0.4337440840722364,support_non_rumor,0.4337440840722364
m0_w13_c25_svc_C0.3,about,-0.4290977848027833,support_non_rumor,0.4290977848027833
m0_w13_c25_svc_C0.35,since,-0.4249564679476802,support_non_rumor,0.4249564679476802
m0_w13_c36_svc_C0.4,safe,-0.4248909883024828,support_non_rumor,0.4248909883024828
m0_w13_c25_svc_C0.35,sydney is,-0.42481795561382424,support_non_rumor,0.42481795561382424
m0_w13_c25_svc_C0.3,the sydney,-0.42434203749549415,support_non_rumor,0.42434203749549415
m0_w13_c36_svc_C0.4,islam,-0.42380610367027555,support_non_rumor,0.42380610367027555
m0_w12_c36_svc_C0.25,safe,-0.42305664539089927,support_non_rumor,0.42305664539089927
m0_w13_c25_svc_C0.35,hashtag url,-0.4209037507930976,support_non_rumor,0.4209037507930976
m0_w12_c35_svc_C0.2,about,-0.42035954595627706,support_non_rumor,0.42035954595627706
m0_w13_c25_svc_C0.35,safe,-0.41972652454430615,support_non_rumor,0.41972652454430615
m0_w13_c25_svc_C0.35,again,-0.4191765577140499,support_non_rumor,0.4191765577140499
m0_w13_c36_svc_C0.4,again,-0.4186981466049392,support_non_rumor,0.4186981466049392
m0_w12_c35_svc_C0.2,my,-0.4174373948609663,support_non_rumor,0.4174373948609663
m0_w13_c36_svc_C0.4,since,-0.4167955588080912,support_non_rumor,0.4167955588080912
m0_w13_c36_svc_C0.4,over,-0.41535420298341164,support_non_rumor,0.41535420298341164
m0_w12_c36_svc_C0.25,how,-0.4145338690518111,support_non_rumor,0.4145338690518111
m0_w13_c25_svc_C0.35,unit,-0.41258565540042325,support_non_rumor,0.41258565540042325
m0_w12_c36_svc_C0.25,hashtag germanwings,-0.41061296246714496,support_non_rumor,0.41061296246714496
m0_w13_c36_svc_C0.4,the building,-0.4049703971601218,support_non_rumor,0.4049703971601218
m0_w13_c25_svc_C0.3,safe,-0.4047910773791117,support_non_rumor,0.4047910773791117
m0_w12_c35_svc_C0.2,ferguson,-0.40366266148524044,support_non_rumor,0.40366266148524044
m0_w12_c36_svc_C0.25,ferguson,-0.40253547603246564,support_non_rumor,0.40253547603246564
m0_w13_c36_svc_C0.4,hashtag germanwings,-0.3978132557850821,support_non_rumor,0.3978132557850821
m0_w13_c36_svc_C0.4,breaking news,-0.39702622364759016,support_non_rumor,0.39702622364759016
m0_w12_c36_svc_C0.25,at the,-0.39642497064939913,support_non_rumor,0.39642497064939913
m0_w13_c25_svc_C0.3,hashtag url,-0.39633209004551856,support_non_rumor,0.39633209004551856
m0_w13_c36_svc_C0.4,was killed,-0.3957931754307753,support_non_rumor,0.3957931754307753
m0_w13_c25_svc_C0.35,islam,-0.3949836513445179,support_non_rumor,0.3949836513445179
m0_w13_c25_svc_C0.3,again,-0.39471130053211384,support_non_rumor,0.39471130053211384
